price,ratings,guests,bathrooms,room_type,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings
411.0,4.79,2.0,1.0,Private room,39.0,False,1.0,1.0,"{""cats"": {""landmark"": [7, 42, 23], ""cafe"": [5, 102, 24], ""shopping"": [58, 2324, 28], ""dining"": [30, 501, 42], ""entertainment"": [13, 102, 51], ""fitness_sport"": [5, 83, 51], ""park_green"": [5, 12, 52], ""culture"": [6, 39, 53], ""transit"": [1, 16, 72], ""nightlife"": [6, 114, 74], ""grocery"": [3, 66, 89], ""lodging"": [5, 129, 94]}, ""landmarks"": [[""Bryant Park"", 79], [""One Vanderbilt"", 295], [""Summit One Vanderbilt"", 338], [""Grand Central Terminal"", 378], [""Rockefeller Center"", 397], [""Times Square"", 399], [""Top of the Rock"", 539], [""The Morgan Library & Museum"", 587], [""Radio City Music Hall"", 589], [""Chrysler Building"", 606], [""St. Patrick's Cathedral"", 616], [""Herald Square"", 634], [""Waldorf Astoria"", 681], [""Empire State Building"", 720]]}"
278.0,4.71,4.0,1.0,Entire home/apt,41.0,False,2.0,1.0,"{""cats"": {""cafe"": [5, 98, 30], ""landmark"": [7, 41, 32], ""dining"": [31, 486, 34], ""shopping"": [56, 2329, 35], ""fitness_sport"": [6, 83, 54], ""nightlife"": [6, 114, 56], ""entertainment"": [13, 103, 74], ""transit"": [2, 17, 74], ""culture"": [5, 40, 76], ""park_green"": [6, 14, 80], ""grocery"": [2, 61, 98], ""lodging"": [3, 125, 100]}, ""landmarks"": [[""Bryant Park"", 59], [""One Vanderbilt"", 318], [""Summit One Vanderbilt"", 359], [""Times Square"", 374], [""Grand Central Terminal"", 400], [""Rockefeller Center"", 404], [""Top of the Rock"", 556], [""The Morgan Library & Museum"", 583], [""Radio City Music Hall"", 607], [""Herald Square"", 610], [""Chrysler Building"", 629], [""St. Patrick's Cathedral"", 641], [""Empire State Building"", 700], [""Waldorf Astoria"", 711]]}"
2212.37,5.0,6.0,2.0,Entire home/apt,4.0,False,2.0,2.0,"{""cats"": {""entertainment"": [12, 88, 18], ""culture"": [9, 37, 23], ""cafe"": [10, 101, 27], ""dining"": [31, 490, 27], ""shopping"": [106, 2261, 30], ""park_green"": [4, 13, 34], ""fitness_sport"": [11, 75, 40], ""landmark"": [5, 42, 51], ""grocery"": [6, 63, 67], ""nightlife"": [5, 112, 73], ""lodging"": [7, 119, 76], ""transit"": [1, 16, 86]}, ""landmarks"": [[""Bryant Park"", 112], [""One Vanderbilt"", 251], [""Summit One Vanderbilt"", 297], [""Grand Central Terminal"", 335], [""Rockefeller Center"", 395], [""Times Square"", 447], [""Top of the Rock"", 521], [""Chrysler Building"", 562], [""Radio City Music Hall"", 571], [""St. Patrick's Cathedral"", 582], [""The Morgan Library & Museum"", 587], [""Waldorf Astoria"", 634], [""Herald Square"", 671], [""Empire State Building"", 745]]}"
555.0,4.85,3.0,1.0,Entire home/apt,124.0,False,1.0,1.0,"{""cats"": {""shopping"": [39, 2229, 20], ""cafe"": [6, 87, 31], ""dining"": [40, 460, 43], ""entertainment"": [9, 164, 44], ""park_green"": [2, 13, 75], ""culture"": [1, 34, 78], ""landmark"": [6, 49, 80], ""transit"": [1, 11, 80], ""nightlife"": [11, 114, 94], ""lodging"": [10, 134, 95], ""fitness_sport"": [3, 72, 96], ""grocery"": [5, 47, 105]}, ""landmarks"": [[""Bryant Park"", 118], [""Times Square"", 208], [""Rockefeller Center"", 311], [""One Vanderbilt"", 499], [""Top of the Rock"", 522], [""Summit One Vanderbilt"", 544], [""Radio City Music Hall"", 557], [""Grand Central Terminal"", 583], [""Herald Square"", 645], [""St. Patrick's Cathedral"", 666], [""The Morgan Library & Museum"", 740], [""Empire State Building"", 776], [""Museum of Modern Art"", 798]]}"
285.29,4.5,2.0,1.0,Entire home/apt,8.0,False,1.0,1.0,"{""cats"": {""shopping"": [195, 2279, 2], ""dining"": [49, 465, 7], ""lodging"": [13, 106, 20], ""entertainment"": [15, 98, 21], ""culture"": [8, 37, 26], ""park_green"": [5, 13, 28], ""fitness_sport"": [12, 66, 34], ""cafe"": [9, 96, 72], ""grocery"": [8, 57, 76], ""landmark"": [6, 42, 76], ""nightlife"": [13, 102, 79], ""transit"": [1, 16, 144]}, ""landmarks"": [[""Bryant Park"", 164], [""One Vanderbilt"", 276], [""Summit One Vanderbilt"", 328], [""Rockefeller Center"", 337], [""Grand Central Terminal"", 352], [""Times Square"", 445], [""Top of the Rock"", 461], [""Radio City Music Hall"", 510], [""St. Patrick's Cathedral"", 528], [""Chrysler Building"", 582], [""Waldorf Astoria"", 602], [""The Morgan Library & Museum"", 646], [""Herald Square"", 722], [""Museum of Modern Art"", 746]]}"
327.0,4.61,4.0,1.0,Entire home/apt,41.0,False,2.0,1.0,"{""cats"": {""shopping"": [195, 2279, 2], ""dining"": [49, 465, 7], ""lodging"": [13, 106, 20], ""entertainment"": [15, 98, 21], ""culture"": [8, 37, 26], ""park_green"": [5, 13, 28], ""fitness_sport"": [12, 66, 34], ""cafe"": [9, 96, 72], ""grocery"": [8, 57, 76], ""landmark"": [6, 42, 76], ""nightlife"": [13, 102, 79], ""transit"": [1, 16, 144]}, ""landmarks"": [[""Bryant Park"", 164], [""One Vanderbilt"", 276], [""Summit One Vanderbilt"", 328], [""Rockefeller Center"", 337], [""Grand Central Terminal"", 352], [""Times Square"", 445], [""Top of the Rock"", 461], [""Radio City Music Hall"", 510], [""St. Patrick's Cathedral"", 528], [""Chrysler Building"", 582], [""Waldorf Astoria"", 602], [""The Morgan Library & Museum"", 646], [""Herald Square"", 722], [""Museum of Modern Art"", 746]]}"
639.06,4.74,5.0,1.0,Entire home/apt,61.0,False,2.0,1.0,"{""cats"": {""shopping"": [195, 2279, 2], ""dining"": [49, 465, 7], ""lodging"": [13, 106, 20], ""entertainment"": [15, 98, 21], ""culture"": [8, 37, 26], ""park_green"": [5, 13, 28], ""fitness_sport"": [12, 66, 34], ""cafe"": [9, 96, 72], ""grocery"": [8, 57, 76], ""landmark"": [6, 42, 76], ""nightlife"": [13, 102, 79], ""transit"": [1, 16, 144]}, ""landmarks"": [[""Bryant Park"", 164], [""One Vanderbilt"", 276], [""Summit One Vanderbilt"", 328], [""Rockefeller Center"", 337], [""Grand Central Terminal"", 352], [""Times Square"", 445], [""Top of the Rock"", 461], [""Radio City Music Hall"", 510], [""St. Patrick's Cathedral"", 528], [""Chrysler Building"", 582], [""Waldorf Astoria"", 602], [""The Morgan Library & Museum"", 646], [""Herald Square"", 722], [""Museum of Modern Art"", 746]]}"
94.03,3.0,2.0,1.0,Entire home/apt,1.0,False,1.0,1.0,"{""cats"": {""shopping"": [195, 2279, 2], ""dining"": [49, 465, 7], ""lodging"": [13, 106, 20], ""entertainment"": [15, 98, 21], ""culture"": [8, 37, 26], ""park_green"": [5, 13, 28], ""fitness_sport"": [12, 66, 34], ""cafe"": [9, 96, 72], ""grocery"": [8, 57, 76], ""landmark"": [6, 42, 76], ""nightlife"": [13, 102, 79], ""transit"": [1, 16, 144]}, ""landmarks"": [[""Bryant Park"", 164], [""One Vanderbilt"", 276], [""Summit One Vanderbilt"", 328], [""Rockefeller Center"", 337], [""Grand Central Terminal"", 352], [""Times Square"", 445], [""Top of the Rock"", 461], [""Radio City Music Hall"", 510], [""St. Patrick's Cathedral"", 528], [""Chrysler Building"", 582], [""Waldorf Astoria"", 602], [""The Morgan Library & Museum"", 646], [""Herald Square"", 722], [""Museum of Modern Art"", 746]]}"
262.47,3.33,2.0,1.0,Entire home/apt,6.0,False,1.0,1.0,"{""cats"": {""shopping"": [195, 2279, 2], ""dining"": [49, 465, 7], ""lodging"": [13, 106, 20], ""entertainment"": [15, 98, 21], ""culture"": [8, 37, 26], ""park_green"": [5, 13, 28], ""fitness_sport"": [12, 66, 34], ""cafe"": [9, 96, 72], ""grocery"": [8, 57, 76], ""landmark"": [6, 42, 76], ""nightlife"": [13, 102, 79], ""transit"": [1, 16, 144]}, ""landmarks"": [[""Bryant Park"", 164], [""One Vanderbilt"", 276], [""Summit One Vanderbilt"", 328], [""Rockefeller Center"", 337], [""Grand Central Terminal"", 352], [""Times Square"", 445], [""Top of the Rock"", 461], [""Radio City Music Hall"", 510], [""St. Patrick's Cathedral"", 528], [""Chrysler Building"", 582], [""Waldorf Astoria"", 602], [""The Morgan Library & Museum"", 646], [""Herald Square"", 722], [""Museum of Modern Art"", 746]]}"
211.0,4.64,2.0,1.0,Private room,90.0,False,1.0,1.0,"{""cats"": {""dining"": [69, 547, 6], ""entertainment"": [7, 173, 7], ""lodging"": [10, 131, 7], ""nightlife"": [8, 113, 12], ""shopping"": [324, 2007, 15], ""cafe"": [9, 99, 30], ""grocery"": [12, 62, 38], ""transit"": [2, 19, 45], ""fitness_sport"": [14, 156, 61], ""landmark"": [3, 26, 68], ""culture"": [7, 37, 109], ""park_green"": [0, 7, 153]}, ""landmarks"": [[""Herald Square"", 218], [""Madison Square Garden"", 327], [""Bryant Park"", 413], [""Times Square"", 461], [""Empire State Building"", 476], [""The Morgan Library & Museum"", 761]]}"
