price,room_type,ratings,guests,bathrooms,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings_summary
284.1,Entire home/apt,4.91,3.0,1.0,11.0,False,1.0,1.0,
323.33,Private room,4.74,1.0,1.0,43.0,False,2.0,1.0,
690.98,Private room,4.0,8.0,2.0,1.0,False,2.0,2.0,
588.0,Entire home/apt,4.0,2.0,1.0,5.0,False,1.0,1.0,
290.0,Private room,4.14,2.0,1.0,7.0,False,1.0,1.0,
1452.0,Private room,5.0,12.0,3.0,1.0,False,3.0,3.0,
1199.0,Entire home/apt,5.0,5.0,1.0,21.0,True,2.0,1.0,
312.68,Entire home/apt,4.73,4.0,1.0,15.0,False,1.0,1.0,
595.92,Private room,4.46,8.0,1.0,56.0,False,1.0,1.0,
475.05,Entire home/apt,3.0,5.0,1.0,1.0,False,1.0,1.0,
266.0,Private room,4.4,2.0,1.0,15.0,False,1.0,1.0,
164.73,Entire home/apt,4.87,2.0,1.0,23.0,True,2.0,1.0,
724.27,Entire home/apt,4.83,6.0,1.0,6.0,True,2.0,1.0,
325.0,Private room,4.46,2.0,1.0,61.0,False,1.0,1.0,
232.42,Private room,4.86,2.0,1.0,7.0,False,1.0,1.0,
454.78,Entire home/apt,4.33,6.0,1.0,3.0,False,3.0,1.0,
198.53,Private room,4.9,4.0,1.0,39.0,True,1.0,1.0,
207.0,Hotel room,4.0,4.0,1.0,1.0,False,1.0,1.0,
155.03,Entire home/apt,5.0,3.0,1.0,1.0,False,1.0,1.0,
336.65,Entire home/apt,4.98,3.0,1.5,47.0,False,1.0,1.5,
615.0,Hotel room,5.0,2.0,1.0,2.0,False,1.0,1.0,
285.17,Entire home/apt,4.83,4.0,1.0,6.0,False,1.0,1.0,
214.9,Entire home/apt,4.81,2.0,1.0,16.0,False,2.0,1.0,
318.27,Private room,4.75,4.0,1.0,129.0,False,2.0,1.0,
154.22,Entire home/apt,4.33,1.0,1.0,6.0,False,1.0,1.0,
289.35,Private room,3.68,2.0,1.0,31.0,False,1.0,1.0,
245.8,Entire home/apt,5.0,3.0,2.0,2.0,False,1.0,2.0,
397.7,Entire home/apt,4.62,4.0,1.0,81.0,False,1.0,1.0,
547.36,Entire home/apt,4.83,4.0,1.0,46.0,True,1.0,1.0,
116.15,Entire home/apt,4.7,2.0,1.0,37.0,False,1.0,1.0,
388.43,Entire home/apt,5.0,2.0,1.0,1.0,False,2.0,1.0,
418.61,Entire home/apt,3.0,3.0,1.0,1.0,False,1.0,1.0,
283.55,Entire home/apt,4.81,1.0,1.0,62.0,False,1.0,1.0,
276.7,Entire home/apt,4.82,2.0,1.0,11.0,True,1.0,1.0,
656.33,Entire home/apt,4.88,5.0,1.0,110.0,True,2.0,1.0,
210.2,Entire home/apt,5.0,2.0,1.0,6.0,False,1.0,1.0,
139.49,Private room,4.5,2.0,1.0,688.0,False,1.0,1.0,
745.0,Private room,5.0,3.0,1.0,5.0,False,1.0,1.0,
449.27,Entire home/apt,5.0,2.0,1.0,1.0,False,1.0,1.0,
878.86,Entire home/apt,4.94,2.0,1.0,36.0,True,1.0,1.0,
112.43,Private room,5.0,3.0,1.0,2.0,False,1.0,1.0,
59.11,Entire home/apt,4.6,1.0,1.0,5.0,True,1.0,1.0,
628.0,Private room,5.0,4.0,2.0,1.0,False,1.0,2.0,
149.39,Entire home/apt,5.0,2.0,1.0,1.0,False,1.0,1.0,
417.51,Entire home/apt,4.73,4.0,1.0,56.0,True,1.0,1.0,
266.07,Entire home/apt,4.93,2.0,1.0,15.0,False,1.0,1.0,
290.21,Entire home/apt,4.4,2.0,1.0,5.0,False,1.0,1.0,
286.3,Entire home/apt,4.77,5.0,1.0,99.0,True,1.0,1.0,
620.33,Private room,4.95,4.0,1.0,21.0,False,1.0,1.0,
279.65,Entire home/apt,4.5,2.0,2.5,4.0,False,2.0,2.5,
63.84,Entire home/apt,4.5,1.0,1.0,2.0,True,1.0,1.0,
255.23,Entire home/apt,4.5,1.0,1.0,4.0,False,1.0,1.0,
1685.0,Entire home/apt,5.0,5.0,2.0,4.0,False,2.0,2.0,
651.0,Entire home/apt,4.82,2.0,1.0,22.0,True,1.0,1.0,
298.0,Entire home/apt,4.86,2.0,1.0,356.0,True,1.0,1.0,
388.57,Entire home/apt,5.0,3.0,1.0,1.0,False,1.0,1.0,
272.77,Entire home/apt,5.0,3.0,1.0,1.0,True,1.0,1.0,
354.0,Hotel room,5.0,4.0,1.0,1.0,False,1.0,1.0,
954.0,Entire home/apt,4.84,6.0,2.0,25.0,True,2.0,2.0,
215.01,Entire home/apt,4.75,4.0,1.0,63.0,False,1.0,1.0,
166.63,Private room,4.71,1.0,1.0,24.0,True,1.0,1.0,
2054.12,Entire home/apt,4.81,6.0,2.0,37.0,True,2.0,2.0,
764.59,Entire home/apt,4.76,5.0,1.0,117.0,True,2.0,1.0,
315.51,Entire home/apt,4.67,3.0,1.0,12.0,False,1.0,1.0,
2282.36,Entire home/apt,4.94,6.0,3.0,68.0,True,3.0,3.0,
627.67,Private room,4.91,2.0,1.0,57.0,False,1.0,1.0,
105.62,Entire home/apt,4.33,2.0,1.0,3.0,True,1.0,1.0,
136.8,Entire home/apt,4.67,2.0,1.0,3.0,False,1.0,1.0,
239.7,Entire home/apt,5.0,2.0,1.0,3.0,False,1.0,1.0,
197.82,Entire home/apt,4.86,3.0,1.0,108.0,True,1.0,1.0,
169.58,Entire home/apt,5.0,2.0,1.0,1.0,True,1.0,1.0,
262.0,Entire home/apt,4.75,2.0,1.0,60.0,False,1.0,1.0,
201.0,Entire home/apt,4.64,2.0,1.0,58.0,False,1.0,1.0,
856.0,Entire home/apt,4.96,4.0,2.0,68.0,True,2.0,2.0,
419.4,Entire home/apt,5.0,4.0,1.0,1.0,False,2.0,1.0,
232.88,Entire home/apt,4.0,3.0,1.0,2.0,False,1.0,1.0,
290.25,Entire home/apt,4.6,5.0,1.0,5.0,False,2.0,1.0,
165.93,Entire home/apt,4.0,2.0,1.0,1.0,False,1.0,1.0,
371.49,Entire home/apt,5.0,4.0,2.0,2.0,True,1.0,2.0,
1096.67,Entire home/apt,5.0,4.0,2.0,10.0,True,2.0,2.0,
450.0,Private room,5.0,2.0,1.0,8.0,True,1.0,1.0,
238.82,Entire home/apt,5.0,2.0,1.0,2.0,False,1.0,1.0,
66.78,Shared room,4.68,1.0,1.0,264.0,False,1.0,1.0,
362.0,Entire home/apt,4.8,5.0,1.0,5.0,False,1.0,1.0,
279.68,Entire home/apt,4.33,3.0,1.0,6.0,False,1.0,1.0,
466.67,Entire home/apt,4.64,5.0,1.0,56.0,True,2.0,1.0,
82.42,Private room,4.59,1.0,4.0,17.0,False,1.0,4.0,
510.0,Entire home/apt,5.0,4.0,1.0,5.0,True,2.0,1.0,
252.97,Entire home/apt,4.73,4.0,1.0,11.0,False,2.0,1.0,
289.73,Entire home/apt,4.83,4.0,1.0,6.0,False,2.0,1.0,
202.77,Entire home/apt,4.92,2.0,1.0,26.0,True,1.0,1.0,
175.0,Entire home/apt,5.0,4.0,1.0,2.0,False,1.0,1.0,
20.47,Shared room,3.0,1.0,1.0,2.0,False,1.0,1.0,
218.5,Private room,4.68,2.0,1.0,34.0,False,1.0,1.0,
907.8,Entire home/apt,5.0,6.0,3.5,5.0,False,3.0,3.5,
696.07,Entire home/apt,5.0,4.0,2.0,1.0,True,2.0,2.0,
160.75,Entire home/apt,4.0,3.0,1.0,1.0,False,1.0,1.0,
255.79,Entire home/apt,4.67,6.0,2.0,3.0,False,2.0,2.0,
227.62,Private room,4.66,4.0,1.0,250.0,False,1.0,1.0,
263.25,Entire home/apt,4.75,4.0,1.0,8.0,False,1.0,1.0,
133.11,Private room,5.0,1.0,1.0,2.0,False,1.0,1.0,
120.97,Entire home/apt,4.78,2.0,1.0,9.0,False,1.0,1.0,
190.73,Entire home/apt,4.71,4.0,1.0,7.0,True,2.0,1.0,
163.16,Entire home/apt,5.0,4.0,1.0,2.0,False,1.0,1.0,
334.63,Entire home/apt,4.67,1.0,1.0,3.0,False,2.0,1.0,
257.52,Entire home/apt,4.74,2.0,1.0,35.0,False,1.0,1.0,
153.4,Entire home/apt,4.78,1.0,1.0,231.0,False,1.0,1.0,
275.27,Entire home/apt,5.0,3.0,1.0,23.0,True,1.0,1.0,
250.63,Entire home/apt,4.91,3.0,1.0,23.0,True,1.0,1.0,
251.62,Entire home/apt,5.0,4.0,1.0,2.0,False,2.0,1.0,
147.19,Entire home/apt,5.0,3.0,1.0,3.0,False,1.0,1.0,
158.2,Entire home/apt,4.6,3.0,1.5,10.0,True,1.0,1.5,
290.4,Entire home/apt,4.75,2.0,1.0,4.0,False,1.0,1.0,
236.07,Entire home/apt,5.0,1.0,1.0,2.0,False,1.0,1.0,
234.17,Entire home/apt,4.86,2.0,1.0,14.0,False,1.0,1.0,
273.16,Entire home/apt,5.0,2.0,1.0,6.0,True,1.0,1.0,
268.27,Entire home/apt,5.0,2.0,1.0,1.0,False,1.0,1.0,
205.5,Private room,4.0,1.0,1.0,4.0,False,1.0,1.0,
283.0,Hotel room,3.33,3.0,1.0,3.0,False,1.0,1.0,
878.79,Entire home/apt,5.0,4.0,2.0,30.0,False,2.0,2.0,
195.27,Entire home/apt,4.13,4.0,1.0,8.0,False,1.0,1.0,
191.01,Entire home/apt,4.66,3.0,1.0,70.0,False,2.0,1.0,
180.93,Private room,4.81,2.0,1.0,83.0,True,1.0,1.0,
535.76,Entire home/apt,4.68,4.0,1.0,25.0,False,2.0,1.0,
462.77,Entire home/apt,4.9,4.0,2.0,10.0,False,2.0,2.0,
263.47,Entire home/apt,4.9,3.0,1.0,70.0,True,1.0,1.0,
650.0,Entire home/apt,5.0,8.0,2.0,6.0,True,4.0,2.0,
1119.0,Entire home/apt,4.61,5.0,1.0,294.0,False,2.0,1.0,
239.7,Entire home/apt,4.5,3.0,1.0,6.0,False,1.0,1.0,
723.51,Entire home/apt,4.73,8.0,1.0,33.0,False,4.0,1.0,
209.93,Entire home/apt,4.26,5.0,1.0,68.0,True,3.0,1.0,
411.58,Entire home/apt,5.0,4.0,1.0,2.0,True,1.0,1.0,
259.03,Entire home/apt,4.56,2.0,1.0,18.0,False,1.0,1.0,
235.37,Entire home/apt,4.0,3.0,1.0,1.0,True,1.0,1.0,
388.12,Entire home/apt,3.0,3.0,1.0,2.0,False,1.0,1.0,
160.21,Entire home/apt,5.0,3.0,1.0,8.0,False,2.0,1.0,
250.73,Entire home/apt,4.75,3.0,1.0,16.0,False,1.0,1.0,
154.01,Entire home/apt,4.41,4.0,1.0,157.0,False,2.0,1.0,
307.83,Entire home/apt,4.58,4.0,1.0,12.0,False,2.0,1.0,
571.0,Entire home/apt,4.5,4.0,2.0,42.0,False,2.0,2.0,
243.37,Entire home/apt,4.83,4.0,1.0,6.0,False,2.0,1.0,
217.93,Entire home/apt,4.77,3.0,1.0,39.0,True,2.0,1.0,
358.0,Private room,3.33,2.0,1.0,3.0,False,1.0,1.0,
147.5,Entire home/apt,4.7,2.0,1.0,10.0,False,1.0,1.0,
173.07,Entire home/apt,4.58,3.0,1.0,53.0,False,1.0,1.0,
203.57,Private room,4.87,2.0,1.0,53.0,False,3.0,1.0,
770.5,Private room,4.85,4.0,2.0,193.0,True,2.0,2.0,
518.07,Entire home/apt,4.5,6.0,3.0,4.0,False,3.0,3.0,
125.48,Entire home/apt,4.77,2.0,1.0,60.0,True,1.0,1.0,
623.0,Entire home/apt,5.0,5.0,2.0,1.0,False,4.0,2.0,
283.93,Entire home/apt,4.69,4.0,1.0,13.0,False,2.0,1.0,
322.5,Private room,4.9,8.0,1.0,58.0,True,2.0,1.0,
241.53,Entire home/apt,5.0,2.0,1.0,17.0,False,1.0,1.0,
214.03,Entire home/apt,4.89,4.0,1.0,9.0,True,3.0,1.0,
169.63,Entire home/apt,4.75,2.0,1.0,4.0,False,1.0,1.0,
217.2,Entire home/apt,4.99,2.0,1.0,72.0,False,1.0,1.0,
79.67,Private room,4.15,2.0,1.0,20.0,False,2.0,1.0,
301.1,Entire home/apt,4.96,5.0,2.0,23.0,False,2.0,2.0,
274.79,Entire home/apt,5.0,4.0,1.5,76.0,False,2.0,1.5,
222.5,Entire home/apt,4.79,2.0,1.0,14.0,False,1.0,1.0,
920.0,Hotel room,4.0,12.0,3.0,4.0,False,3.0,3.0,
235.0,Hotel room,4.5,2.0,1.0,2.0,False,1.0,1.0,
404.75,Entire home/apt,4.93,3.0,1.0,90.0,False,1.0,1.0,
183.14,Entire home/apt,4.63,6.0,2.0,8.0,True,3.0,2.0,
58.74,Private room,4.93,2.0,4.0,15.0,True,5.0,4.0,
297.93,Entire home/apt,5.0,3.0,1.0,6.0,True,1.0,1.0,
153.97,Entire home/apt,4.93,2.0,1.0,29.0,True,1.0,1.0,
103.2,Entire home/apt,4.78,4.0,1.0,68.0,False,1.0,1.0,
119.5,Entire home/apt,4.87,2.0,1.0,46.0,True,2.0,1.0,
157.47,Entire home/apt,5.0,4.0,1.0,3.0,True,1.0,1.0,
650.06,Entire home/apt,4.84,9.0,2.0,43.0,False,3.0,2.0,
314.67,Entire home/apt,4.0,5.0,1.0,2.0,False,2.0,1.0,
59.08,Entire home/apt,5.0,1.0,1.0,2.0,True,1.0,1.0,
