index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_50m
4,,Centrum-Oost,52.36584,4.89111,Private room,55,2,520,5.57,2,267,41,holland,"[{""name"": ""Kattenkabinet"", ""tourism"": ""museum""}, {""name"": ""BLEND XL"", ""amenity"": ""pub""}, {""name"": ""Club NYX"", ""amenity"": ""nightclub""}, {""name"": ""Secret Garden"", ""amenity"": ""restaurant""}]"
11,,Zuid,52.35597,4.88512,Entire home/apt,149,4,95,0.87,1,0,0,holland,"[{""name"": ""Montessori Lyceum Amsterdam"", ""amenity"": ""school"", ""description"": ""hoofdlocatie""}, {""leisure"": ""garden""}]"
19,,Slotervaart,52.34801,4.83639,Private room,42,2,205,1.89,1,355,10,holland,"[{""leisure"": ""playground""}]"
20,,Zuid,52.35665,4.86363,Entire home/apt,99,7,54,0.71,1,0,1,holland,"[{""name"": ""Rosarium"", ""leisure"": ""garden"", ""description"": ""Rose garden in the Vondelpark""}, {""name"": ""Vondelpark"", ""leisure"": ""park""}]"
25,,Centrum-West,52.38104,4.88306,Entire home/apt,157,6,24,0.26,1,156,2,holland,"[{""name"": ""a Sense of Place - Hi-Fidelity Coffee"", ""amenity"": ""cafe""}, {""name"": ""Svaha Yoga - Jordaan Shala"", ""leisure"": ""fitness_centre"", ""sport"": ""yoga""}]"
27,,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,250,21,29,0.23,2,47,2,holland,"[{""leisure"": ""garden""}, {""shop"": ""vacant""}, {""leisure"": ""park""}]"
33,,Centrum-West,52.36883,4.88749,Private room,265,2,12,0.45,1,343,2,holland,"[{""name"": ""Lanskroon"", ""shop"": ""pastry""}, {""name"": ""Amsterdam Vintage Watches"", ""shop"": ""jewelry""}, {""name"": ""The Lebanese Sajeria"", ""amenity"": ""fast_food"", ""cuisine"": ""lebanese""}, {""name"": ""Dutch Flowers Coffee Shop"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop""}, {""name"": ""Amsterdam cheese company"", ""amenity"": ""cafe""}, {""name"": ""Story Tiles"", ""shop"": ""tiles""}, {""name"": ""Kapsalon Jeroen Bruggeman"", ""shop"": ""hairdresser""}, {""name"": ""Eetcafe Singel 404"", ""amenity"": ""cafe""}]"
48,,De Pijp - Rivierenbuurt,52.35784,4.90206,Entire home/apt,145,18,92,0.81,1,90,2,holland,"[{""name"": ""Coffeeshop IBIZA"", ""shop"": ""cannabis""}, {""name"": ""Paul & Ninette Bike Rental"", ""amenity"": ""bicycle_rental""}, {""name"": ""Paul & Ninette Vinotheque"", ""amenity"": ""cafe"", ""cuisine"": ""breakfast;lunch""}, {""name"": ""MAX Hotel"", ""tourism"": ""hotel""}, {""leisure"": ""garden""}, {""name"": ""Lidl"", ""shop"": ""supermarket""}]"
52,,Centrum-Oost,52.36733,4.92055,Entire home/apt,707,2,99,0.88,2,281,0,holland,"[{""leisure"": ""playground""}, {""tourism"": ""artwork""}]"
60,,De Pijp - Rivierenbuurt,52.35699,4.89705,Entire home/apt,200,3,27,0.26,1,363,0,holland,"[{""name"": ""Badcuyp"", ""amenity"": ""restaurant""}, {""name"": ""Hairstudio Pu-ma"", ""shop"": ""hairdresser""}, {""name"": ""Boksschool VBSK Albert Cuyp"", ""leisure"": ""fitness_centre"", ""sport"": ""boxing""}, {""shop"": ""vacant""}, {""name"": ""Taalhuis Amsterdam"", ""amenity"": ""language_school""}, {""name"": ""Dental 220"", ""amenity"": ""dentist""}, {""name"": ""Warung Swietie Lelydorp"", ""amenity"": ""fast_food"", ""cuisine"": ""asian""}, {""name"": ""Thai Roof"", ""amenity"": ""restaurant"", ""cuisine"": ""thai""}, {""name"": ""Café De Baron"", ""amenity"": ""pub""}, {""leisure"": ""garden""}, {""name"": ""Partou"", ""amenity"": ""childcare"", ""description"": ""Kinderdagverblijf""}, {""name"": ""Albert Heijn"", ""shop"": ""supermarket""}, {""name"": ""Gall & Gall"", ""shop"": ""alcohol""}]"
